"SAMPLE_NUMBER","LOGIN_DATE","LOGIN_DATE","REPORTABLE","ANALYSIS","REPORTED_NAME","REPORTED_UNITS","ENTRY","REPLICATE_COUNT","PRODUCT","CUSTOMER","IN_SPEC","PRODUCT_GRADE","SAMPLE_NAME","NAME","SAMPLING_POINT"
"6358200","01/07/2014 08:09:35 AM","01/07/2014 08:09:35 AM","T","IODI010493","Iodine","UG_P_100G","108","1","QC","","T","SRM","SRM","IODI01-14-0077","IRM001A"
"6360451","01/07/2014 12:59:21 PM","01/07/2014 12:59:21 PM","T","IODI010493","Iodine","UG_P_100G","132","1","QC","","T","SRM","SRM","IODI01-14-0078","IRM001A"
"6363938","02/07/2014 01:05:44 PM","02/07/2014 01:05:44 PM","T","IODI010493","Iodine","UG_P_100G","118","1","QC","","T","SRM","SRM","IODI01-14-0079","IRM001A"
"6365919","03/07/2014 07:25:38 AM","03/07/2014 07:25:38 AM","T","IODI010493","Iodine","UG_P_100G","116","1","QC","","T","SRM","SRM","IODI01-14-0080","IRM001A"
"6371280","04/07/2014 12:42:59 PM","04/07/2014 12:42:59 PM","T","IODI010493","Iodine","UG_P_100G","119","1","QC","","T","SRM","SRM","IODI01-14-0081","IRM001A"
"6381163","08/07/2014 06:02:02 PM","08/07/2014 06:02:02 PM","T","IODI010493","Iodine","UG_P_100G","127","1","QC","","T","SRM","SRM","IODI01-14-0082","IRM001A"
"6393917","14/07/2014 07:14:31 AM","14/07/2014 07:14:31 AM","T","IODI010493","Iodine","UG_P_100G","118","1","QC","","T","SRM","SRM","IODI01-14-0083","IRM001A"
"6408247","18/07/2014 12:15:49 PM","18/07/2014 12:15:49 PM","T","IODI010493","Iodine","UG_P_100G","113","1","QC","","T","SRM","SRM","IODI01-14-0084","IRM001A"
"6411214","19/07/2014 12:05:55 PM","19/07/2014 12:05:55 PM","T","IODI010493","Iodine","UG_P_100G","113","1","QC","","T","SRM","SRM","IODI01-14-0085","IRM001A"
"6413339","21/07/2014 10:23:47 AM","21/07/2014 10:23:47 AM","T","IODI010493","Iodine","UG_P_100G","114","1","QC","","T","SRM","SRM","IODI01-14-0086","IRM001A"
"6416227","22/07/2014 11:12:29 AM","22/07/2014 11:12:29 AM","T","IODI010493","Iodine","","","1","QC","","T","SRM","SRM","IODI01-14-0087","IRM001A"
"6425115","24/07/2014 04:06:21 PM","24/07/2014 04:06:21 PM","T","IODI010493","Iodine","UG_P_100G","109","1","QC","","T","SRM","SRM","IODI01-14-0087","IRM001A"
"6428913","25/07/2014 04:15:48 PM","25/07/2014 04:15:48 PM","T","IODI010493","Iodine","UG_P_100G","123","1","QC","","T","SRM","SRM","IODI01-14-0088","IRM001A"
"6436703","29/07/2014 10:31:29 AM","29/07/2014 10:31:29 AM","T","IODI010493","Iodine","UG_P_100G","120","1","QC","","T","SRM","SRM","IODI01-14-0089","IRM001A"
"6445151","31/07/2014 12:51:59 PM","31/07/2014 12:51:59 PM","T","IODI010493","Iodine","UG_P_100G","116","1","QC","","T","SRM","SRM","IODI01-14-0090","IRM001A"
"6451466","02/08/2014 01:33:49 PM","02/08/2014 01:33:49 PM","T","IODI010493","Iodine","UG_P_100G","111","1","QC","","T","SRM","SRM","IODI01-14-0091","IRM001A"
"6459492","06/08/2014 07:17:45 AM","06/08/2014 07:17:45 AM","T","IODI010493","Iodine","UG_P_100G","123","1","QC","","T","SRM","SRM","IODI01-14-0092","IRM001A"
"6468451","08/08/2014 10:51:34 AM","08/08/2014 10:51:34 AM","T","IODI010493","Iodine","UG_P_100G","111","1","QC","","T","SRM","SRM","IODI01-14-0093","IRM001A"
"6476669","12/08/2014 08:22:55 AM","12/08/2014 08:22:55 AM","T","IODI010493","Iodine","UG_P_100G","137","1","QC","","T","SRM","SRM","IODI01-14-0094","IRM001A"
"6484179","14/08/2014 08:23:38 AM","14/08/2014 08:23:38 AM","T","IODI010493","Iodine","UG_P_100G","127","1","QC","","T","SRM","SRM","IODI01-14-0095","IRM001A"
"6493699","16/08/2014 12:23:31 PM","16/08/2014 12:23:31 PM","T","IODI010493","Iodine","UG_P_100G","130","1","QC","","T","SRM","SRM","IODI01-14-0096","IRM001A"
"6496472","18/08/2014 10:17:45 AM","18/08/2014 10:17:45 AM","T","IODI010493","Iodine","UG_P_100G","111","1","QC","","T","SRM","SRM","IODI01-14-0097","IRM001A"
"6503717","20/08/2014 07:19:56 AM","20/08/2014 07:19:56 AM","T","IODI010493","Iodine","UG_P_100G","122","1","QC","","T","SRM","SRM","IODI01-14-0098","IRM001A"
"6516044","23/08/2014 07:42:22 AM","23/08/2014 07:42:22 AM","T","IODI010493","Iodine","UG_P_100G","131","1","QC","","T","SRM","SRM","IODI01-14-0099","IRM001A"
"6519719","25/08/2014 10:35:51 AM","25/08/2014 10:35:51 AM","T","IODI010493","Iodine","UG_P_100G","135","1","QC","","T","SRM","SRM","IODI01-14-0100","IRM001A"
